_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
63817,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,22.0,,,,,,,,YES,Green Bin / Organics,YES,NO,SIDE OF BUILDING,REPLACED,1980.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,0.0,0.0,4.0,YES,YES,Surface Parking,M4G,,YES,,PRIVATE,SIDE OF BUILDING,4156586.0,NO,YES,NO,855  MILLWOOD RD ,NO,,,,UNAVAILABLE,15,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
63818,NONE,,YES,YES,YES,NO,NO,0 indoor parking spots and 8 outdoor parking spots,4.0,16.0,,,,,,,YES,YES,Green Bin / Organics,YES,NO,BACK OF BUILDING,ORIGINAL,1970.0,FORCED AIR GAS,NO,YES,NO,YES,YES,24HRS,BASEMENT,NO,0.0,0.0,0.0,2.0,YES,YES,Surface Parking,M4L,,YES,FIRM CAPITAL PROPERTIES INC,PRIVATE,BACK OF BUILDING,4156597.0,NO,YES,NO,4  KINGSTON RD ,YES,YES,1970.0,,UNAVAILABLE,19,DOUBLE PANE,1970.0,,2017.0,,,,,,,,
63819,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,36.0,,,,,,,,NO,Green Bin / Organics,YES,NO,AT THE SIDE OF THE BUILDING,REPLACED,2002.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,IN THE BASEMENT,YES,0.0,14.0,0.0,5.0,NO,YES,Surface Parking,M4P,SMALL DOGS AND CATS,YES,DENWIN INVESTMENTS LIMITED,PRIVATE,AT THE SIDE OF THE BUILDING,4153808.0,NO,YES,NO,57  RAWLINSON AVE ,YES,YES,1959.0,,UNAVAILABLE,15,SINGLE PANE,1959.0,,2017.0,,,,,,,,
63820,NONE,"Outdoor pool , Outdoor rec facilities",YES,NO,YES,NO,NO,Not Available,4.0,71.0,"JAN 26, 2016",,,COURTYARD/GARDEN,,REPLACED,,NO,Recycling bins,YES,YES,,REPLACED,2007.0,FORCED AIR GAS,YES,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,72.0,2.0,6.0,NO,YES,Underground Garage,M4P,,YES,TIMES GROUP,PRIVATE,,4153824.0,NO,YES,NO,65  BROADWAY AVE ,YES,YES,2014.0,YES,UNAVAILABLE,12,DOUBLE PANE,1956.0,2017.0,2017.0,,,,,,,,
63821,NONE,Outdoor pool,YES,YES,YES,YES,NO,0 indoor parking spots and 12 outdoor parking spots,14.0,211.0,"DEC 12, 2012",,,,MECHANICAL RETROFIT,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2001.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,ALL FLOORS EXCEPT FIRST,YES,0.0,0.0,3.0,44.0,NO,YES,"Underground Garage , Surface Parking",M4P,,YES,PARK PROPERTY MANAGEMENT INC.,PRIVATE,BACK OF BUILDING,4153826.0,NO,YES,NO,100  ROEHAMPTON AVE ,YES,YES,1961.0,YES,PAID,12,DOUBLE PANE,1961.0,2002.0,2017.0,,,,,,,,
63822,NONE,,NO,NO,YES,YES,NO,Not Available,3.0,10.0,,,,,,,,YES,Green Bin / Organics,YES,NO,BACK PARKING LOT ,REPLACED,2000.0,HOT WATER,NO,YES,NO,NO,YES,ANYTIME ,BASEMENT LEVEL ,NO,0.0,9.0,0.0,1.0,NO,YES,"Ground Level Garage , Surface Parking",M3H,,NO,,PRIVATE,BACK PARKING LOT ,4154569.0,NO,YES,NO,415  WILSON AVE ,NO,,,,UNAVAILABLE,6,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
63823,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,33.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2003.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,0.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M3H,NONE ALLOWED,NO,COMPTEN MANAGEMENT INC.,PRIVATE,OUTDOOR,4154575.0,NO,YES,NO,45  FAYWOOD BLVD ,NO,,,,FREE,6,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
63824,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,33.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2003.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,0.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M3H,NONE ALLOWED,NO,COMPTEN MANAGEMENT INC.,PRIVATE,OUTDOOR,4154579.0,NO,YES,NO,8  VINCI CRES ,NO,,,,FREE,6,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
63825,NONE,,YES,NO,YES,YES,YES,Not Available,4.0,30.0,"SEP 26, 2017",,,,,ORIGINAL,,NO,Recycling bins,YES,NO,,REPLACED,2000.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,30.0,0.0,1.0,8.0,NO,YES,"Ground Level Garage , Surface Parking",M3H,,YES,,PRIVATE,OUTSIDE,4154591.0,NO,YES,NO,3896  BATHURST ST ,YES,YES,1958.0,YES,FREE,6,DOUBLE PANE,1958.0,,2017.0,,,,,,,,
63826,NONE,,YES,YES,YES,NO,YES,Not Available,3.0,40.0,"APR 27, 2015",,,,FULL REPLACEMENT - GAL GALAXY ,REPLACED,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1989.0,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,YES,2.0,4.0,1.0,6.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3H,,YES,TCH,TCHC,BACK OF BUILDING,4154611.0,NO,NO,NO,2  FAYWOOD BLVD ,YES,YES,1989.0,YES,PAID,6,DOUBLE PANE,1989.0,2014.0,2017.0,,,,,,,,
63827,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,4.0,79.0,"JAN 12, 2016",,,,,ORIGINAL,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1993.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,1.0,6.0,2.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3H,,YES,,TCHC,REAR OF BUILDING,4154616.0,NO,NO,NO,750  WILSON HEIGHTS BLVD ,YES,YES,1993.0,YES,FREE,6,DOUBLE PANE,1993.0,,2017.0,,,,,,,,
63828,NONE,Outdoor pool,YES,NO,YES,YES,NO,0 indoor parking spots and 18 outdoor parking spots,7.0,150.0,"MAY 11, 2015",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,REAR OF BUILDINGS,ORIGINAL,1964.0,HOT WATER,NO,YES,NO,YES,YES,8 AM TO 10 PM ,MAIN FLOOR OF BOTH BUILDINGS,YES,0.0,0.0,4.0,16.0,NO,YES,"Underground Garage , Surface Parking",M3H,AS PER LEASING AGREEMENT,YES,,PRIVATE,REAR OF BUILDINGS,4154619.0,NO,YES,YES,707-711  FINCH AVE W,YES,YES,1964.0,YES,FREE,6,DOUBLE PANE,1964.0,2010.0,2017.0,,,,,,,,
63829,,,,,,,, indoor parking spots and  outdoor parking spots,3.0,12.0,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,0.0,,,,,M6M,,,,PRIVATE,,4155105.0,,,,5  GREENBROOK DR ,,,,,,5,DOUBLE PANE,1954.0,,,,,,,,,,
63830,NONE,,NO,NO,YES,NO,YES,Not Available,3.0,28.0,"FEB 8, 2017",,,,,REPLACED,,NO,Unknown,YES,NO,,REPLACED,2001.0,HOT WATER,NO,YES,NO,NO,YES,8:00 AM TO 10:00 PM,BASEMENT,YES,0.0,0.0,1.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M6M,,YES,MARBROOK DEVELOPMENTS LTD.,PRIVATE,,4155108.0,NO,NO,NO,1960  KEELE ST ,NO,,,NO,FREE,5,DOUBLE PANE,1957.0,2016.0,2017.0,,,,,,,,
63831,NONE,,YES,NO,YES,NO,NO,Not Available,4.0,54.0,,,,,,,,YES,Recycling bins,YES,NO,,REPLACED,2009.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,0.0,0.0,5.0,NO,YES,Surface Parking,M6M,NONE,YES,,PRIVATE,BACK OF THE BUILDING,4155114.0,NO,NO,NO,79  CLEARVIEW HTS ,NO,,,,UNAVAILABLE,5,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
63832,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,28.0,,,,,,,,NO,Green Bin / Organics,YES,NO,FRONT OF BUILDING,REPLACED,1982.0,HOT WATER,NO,YES,NO,NO,YES,9 AM - 9 PM,FIRST FLOOR,NO,0.0,20.0,0.0,4.0,NO,YES,Surface Parking,M6M,,YES,,PRIVATE,FRONT OF BUILDING ,4155116.0,NO,NO,NO,7  GREENTREE CRT ,NO,,,,UNAVAILABLE,5,DOUBLE PANE,1953.0,,2017.0,,,,,,,,
63833,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,17.0,,,,,,,,YES,Unknown,YES,NO,,REPLACED,2016.0,FORCED AIR GAS,NO,NO,NO,NO,YES,8.00 10.00,INSIDE THE BUILDING,YES,0.0,0.0,0.0,4.0,NO,NO,"Ground Level Garage , Surface Parking",M6M,SMALL PETS ONLY,YES,GREENWIN CORP.,PRIVATE,,4155117.0,NO,YES,NO,5  GREENTREE CRT ,YES,YES,2016.0,,FREE,5,DOUBLE PANE,1970.0,,2017.0,,,,,,,,
63834,CENTRAL AIR,,YES,YES,YES,YES,YES,Not Available,5.0,24.0,"JAN 1, 2017",,,,,ORIGINAL,YES,YES,Green Bin / Organics,YES,YES,IN GARAGE,ORIGINAL,1995.0,FORCED AIR GAS,YES,YES,YES,YES,YES,24HRS,,NO,0.0,1.0,1.0,8.0,NO,NO,Ground Level Garage,M6M,,NO,,SOCIAL HOUSING,IN GARAGE ,4155124.0,NO,NO,NO,1296  WESTON RD ,YES,YES,1995.0,YES,UNAVAILABLE,5,DOUBLE PANE,1995.0,,2017.0,,,,,,,,
63835,NONE,,YES,YES,YES,NO,YES,Not Available,4.0,31.0,,,,,,,,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1957.0,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,1.0,4.0,0.0,6.0,YES,YES,Surface Parking,M6A,,YES,TCH,TCHC,BACK OF BUILDING,4155642.0,NO,NO,NO,11  FLEMINGTON RD ,YES,YES,1970.0,,PAID,8,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
63836,NONE,,YES,YES,YES,NO,NO,0 indoor parking spots and 2 outdoor parking spots,4.0,47.0,,,,,,,,NO,Green Bin / Organics,YES,NO,"SOUTH END, CENTRE, NORTH END",REPLACED,1999.0,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 10 PM,IN THE BASEMENT,NO,0.0,2.0,0.0,4.0,YES,YES,Surface Parking,M8V,,YES,CAPREIT,PRIVATE,"SOUTH END, CENTRE, NORTH END",4156738.0,NO,YES,NO,170  ISLINGTON AVE ,NO,,,,UNAVAILABLE,3,DOUBLE PANE,1951.0,,2017.0,,,,,,,,
63837,NONE,,YES,YES,YES,YES,NO,Not Available,6.0,75.0,,,,,,ORIGINAL,NO,NO,Green Bin / Organics,YES,YES,SAME AS RECYCLING,,,HOT WATER,NO,YES,NO,NO,YES,6AM TO 10PM,2ND FLOOR,YES,0.0,0.0,1.0,8.0,NO,YES,Underground Garage,M4K,,YES,BERKLEY PROPERTY MANAGEMENT,PRIVATE,,4154120.0,NO,NO,NO,27  GAMBLE AVE ,YES,YES,,NO,UNAVAILABLE,14,DOUBLE PANE,1960.0,,2019.0,,,,,,,,
63838,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,28.0,,,,,,,YES,NO,Recycling bins,YES,NO,,ORIGINAL,1970.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT OF BUILDING,NO,0.0,0.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M4K,,YES,,PRIVATE,SIDE OF BUILDING,4154121.0,NO,YES,NO,33  GAMBLE AVE ,YES,YES,1970.0,,UNAVAILABLE,14,DOUBLE PANE,1970.0,,2017.0,,,,,,,,
63839,NONE,,YES,YES,YES,YES,YES,Not Available,6.0,48.0,"AUG 10, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,GARBAGE STORAGE AREA,REPLACED,2010.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,MAIN FLOOR,YES,48.0,40.0,1.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M4K,NONE,YES,TRIPAR MANAGEMENT,PRIVATE,IN GARBAGE STORAGE AREEA,4154124.0,NO,YES,NO,65  GAMBLE AVE ,YES,YES,1970.0,YES,UNAVAILABLE,14,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
63840,NONE,,NO,NO,YES,YES,YES,0 indoor parking spots and 18 outdoor parking spots,12.0,134.0,"AUG 6, 2015",,,,,REPLACED,,NO,Recycling bins,YES,YES,,ORIGINAL,1970.0,ELECTRIC,NO,YES,NO,NO,YES,8:00 AM - 10:00 PM,GROUND FLOOR,NO,0.0,0.0,2.0,16.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4K,,YES,MARBROOK DEVELOPMENTS LTD. ,PRIVATE,SOUTH WEST CORNER OF PROPERTY,4154132.0,NO,NO,NO,1175  BROADVIEW AVE ,YES,NO,1970.0,NO,FREE,14,DOUBLE PANE,1970.0,2010.0,2017.0,,,,,,,,
63841,NONE,,YES,YES,YES,YES,YES,Not Available,6.0,71.0,"JUN 22, 2020",,,,,REPLACED,,NO,Green Bin / Organics,YES,YES,,REPLACED,2019.0,HOT WATER,YES,YES,YES,NO,YES,M-F 9AM-10PM  S&S 10AM - 10 PM,2ND FLOOR,YES,71.0,0.0,2.0,9.0,YES,YES,"Ground Level Garage , Surface Parking",M2R,NO WILD ANIMALS,YES,KIEPURA MANAGEMENT,PRIVATE,,4154649.0,NO,YES,NO,4854  BATHURST ST ,YES,YES,1962.0,YES,FREE,6,DOUBLE PANE,1961.0,2011.0,2017.0,,,,,,,,
63842,NONE,,NO,NO,YES,NO,NO,Not Available,3.0,10.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDE NEXT TO RECYCLING,REPLACED,1999.0,HOT WATER,NO,YES,NO,NO,YES,8:00 A.M. - 10:00 P.M.,1ST FLOOR,YES,0.0,0.0,0.0,4.0,NO,YES,Surface Parking,M9N,,YES,,PRIVATE,,4155148.0,NO,NO,NO,143  WOODWARD AVE ,YES,NO,1954.0,,UNAVAILABLE,5,DOUBLE PANE,1954.0,,2018.0,,,,,,,,
63843,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,14.0,,,,,,,,NO,Green Bin / Organics,YES,NO,BACK OF BUILDING,REPLACED,1976.0,HOT WATER,NO,NO,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,11.0,0.0,2.0,NO,YES,Surface Parking,M9N,NONE,YES,1725460 ONTARIO INC,PRIVATE,BACK OF BUILDING,4155151.0,NO,NO,NO,50  JOHN ST ,YES,YES,1986.0,,UNAVAILABLE,5,DOUBLE PANE,1940.0,,2017.0,,,,,,,,
63844,NONE,,NO,NO,YES,NO,NO,Not Available,4.0,34.0,"OCT 15, 2016",,,,COMPLETE REPLACEMENT,REPLACED,,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,2008.0,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 10 PM,BASEMENT,YES,0.0,0.0,1.0,4.0,NO,YES,"Carport , Surface Parking",M9N,,NO,COGIR MANAGEMENT CORPORATION,PRIVATE,BACK OF BUILDING,4155154.0,NO,YES,NO,2263  WESTON RD ,NO,,,YES,FREE,5,DOUBLE PANE,1957.0,2015.0,2017.0,,,,,,,,
63845,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area",YES,YES,YES,YES,YES,Not Available,9.0,132.0,"DEC 19, 2019",OUTDOOR PLAYSET WITH SLIDES,,,MAJOR MODERNIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,REPLACED,2013.0,HOT WATER,NO,YES,YES,YES,YES,8AM TO 11PM,MAIN FLOOR,NO,0.0,1.0,2.0,15.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1L,,YES,OXFORD PROPERTIES GROUP,PRIVATE,OUTSIDE,4154855.0,NO,YES,NO,1540  VICTORIA PARK AVE ,YES,YES,1982.0,YES,FREE,16,DOUBLE PANE,1982.0,2005.0,2017.0,,,,,,,,
63846,INDIVIDUAL UNITS,,YES,YES,YES,YES,YES,Not Available,5.0,61.0,"APR 28, 2015",,,,THE WHOLE ELEVATOR,REPLACED,,YES,Unknown,YES,NO,,ORIGINAL,1959.0,HOT WATER,NO,NO,NO,NO,YES,24 HOURS,GROUND LEVEL,YES,61.0,53.0,1.0,8.0,NO,YES,"Ground Level Garage , Surface Parking",M4A,,YES,,PRIVATE,,4154869.0,NO,YES,NO,3  SWIFT DR ,NO,,,NO,UNAVAILABLE,16,DOUBLE PANE,1960.0,2000.0,2017.0,,,,,,,,
63847,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,62.0,"SEP 16, 2019",,,,FULL MODERNIZATION,REPLACED,,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING,REPLACED,2009.0,HOT WATER,NO,YES,NO,NO,YES,8AM-10PM,GROUND FLOOR,YES,0.0,0.0,1.0,6.0,YES,YES,"Ground Level Garage , Surface Parking",M4A,,YES,PINEDALE PROPERTIES LTD,PRIVATE,REAR OF BUILDING,4154875.0,NO,YES,NO,1  ECCLESTON DR ,YES,YES,1960.0,YES,FREE,16,DOUBLE PANE,1960.0,2017.0,2017.0,,,,,,,,
63848,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,8.0,112.0,"JAN 15, 2017",,,,BRAND NEW ELEVATORS,REPLACED,YES,YES,Green Bin / Organics,YES,YES,OUTSIDE,ORIGINAL,1987.0,ELECTRIC,YES,NO,YES,YES,YES,8:00 AM - 10:00 PM,FIRST FLOOR,YES,1.0,2.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1R,,YES,,SOCIAL HOUSING,OUTSIDE,4154880.0,NO,NO,NO,1684  VICTORIA PARK AVE ,NO,,,YES,FREE,16,DOUBLE PANE,1987.0,2016.0,2017.0,,,,,,,,
63849,NONE,,YES,YES,YES,YES,YES,Not Available,4.0,59.0,"SEP 17, 2017",,,,UPDATE ,REPLACED,,YES,Green Bin / Organics,YES,YES,OUT SIDE,REPLACED,2012.0,HOT WATER,YES,YES,NO,NO,YES,8AM TO 8PM,"ONE EVERY FLOOR, TOTAL 4, ",NO,1.0,65.0,1.0,8.0,YES,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Carport , Surface Parking",M1R,NO DOGS OR CATS,NO,,PRIVATE,OUT SIDE,4154881.0,NO,NO,NO,1710  VICTORIA PARK AVE ,YES,YES,1968.0,YES,PAID,16,DOUBLE PANE,1968.0,1980.0,2017.0,,,,,,,,
63850,NONE,,YES,YES,YES,YES,NO,Not Available,6.0,49.0,"AUG 15, 2017",,,,"MACHINE, HOIST, CAB INTERIOR",REPLACED,YES,NO,Recycling bins,YES,NO,,ORIGINAL,1968.0,FORCED AIR GAS,NO,YES,NO,YES,YES,CONTINUOUS,GROUND FLOOR,YES,0.0,0.0,1.0,8.0,NO,YES,"Ground Level Garage , Carport , Surface Parking",M9R,AS SET FORTH BY RTA,YES,KROMA MANAGEMENT LTD,PRIVATE,REAR OF BUILDING,4155370.0,NO,YES,NO,290  DIXON RD ,NO,,,YES,FREE,1,SINGLE PANE,1968.0,2006.0,2017.0,,,,,,,,
63851,NONE,,YES,YES,YES,YES,NO,Not Available,13.0,151.0,"FEB 1, 2017",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,NO,OUTDOOR GARBAGE ENCLOSURE,REPLACED,2002.0,HOT WATER,NO,YES,NO,YES,YES,6AM-12AM,GROUND FLOOR,YES,0.0,0.0,2.0,12.0,NO,YES,"Underground Garage , Surface Parking",M9C,,YES,BROOKBANK HOLDINGS INC,PRIVATE,OUTDOOR GARBAGE ENCLOSURE,4155377.0,NO,YES,NO,210  MARKLAND DR ,YES,YES,1990.0,YES,FREE,2,SINGLE PANE,1965.0,2006.0,2017.0,,,,,,,,
63852,NONE,Child play area,YES,,YES,YES,NO,Not Available,3.0,17.0,,BACKYARD,,,,,YES,NO,Unknown,YES,NO,,REPLACED,2010.0,HOT WATER,NO,YES,NO,NO,YES,9AM - 9AM ,BASEMENT,,,0.0,0.0,3.0,,YES,Surface Parking,M9C,,YES,NORTH PARK HOLDINGS INC,PRIVATE,,4155380.0,NO,YES,NO,320  THE WEST MALL  ,NO,,,,UNAVAILABLE,2,DOUBLE PANE,1970.0,,2019.0,,,,,,,,
63853,NONE,,YES,YES,YES,YES,NO,Not Available,3.0,14.0,,,,,,,,NO,Green Bin / Organics,YES,NO,,REPLACED,2010.0,FORCED AIR GAS,NO,YES,YES,NO,YES,9:00 AM TO 9:00 PM,ADMINISTRATION BLDG #33,NO,0.0,0.0,0.0,10.0,NO,YES,"Ground Level Garage , Surface Parking",M1B,NO EXOTIC PETS,YES,,SOCIAL HOUSING,OUTDOOR EITHER END OF COMPLEX,4156139.0,NO,NO,NO,39  DURNFORD RD ,NO,,,,FREE,25,DOUBLE PANE,1992.0,,2018.0,,,,,,,,
63854,NONE,"Indoor pool , Child play area , Sauna",YES,YES,YES,YES,YES,18 indoor parking spots and 39 outdoor parking spots,11.0,129.0,"SEP 1, 2016",GATED PLAY STRUCTURE,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING,REPLACED,2007.0,HOT WATER,YES,YES,NO,YES,YES,8AM TO 10 PM,MAIN FLOOR,YES,0.0,1.0,2.0,7.0,NO,YES,"Underground Garage , Ground Level Garage , Surface Parking , Parking Deck",M9R,,YES,MINTO PROPERTIES INC.,PRIVATE,REAR OF BUILIDNG,4156153.0,NO,YES,NO,7  RICHGROVE DR ,YES,YES,1969.0,YES,FREE,1,DOUBLE PANE,1969.0,,2017.0,,,,,,,,
63855,NONE,"Outdoor rec facilities , Child play area",YES,NO,YES,YES,NO,Not Available,4.0,67.0,"NOV 30, 2015",FENCED PLAY AREA,,FENCED PLAY AREA,,REPLACED,,NO,Recycling bins,YES,NO,,REPLACED,2005.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,LOBBY,NO,0.0,0.0,1.0,8.0,YES,YES,Surface Parking,M1J,,YES,METCAP LIVING MANAGEMENT INC,PRIVATE,GARBAGE ENCLOSURE,4152751.0,NO,YES,NO,1320  DANFORTH RD ,NO,,,YES,PAID,21,DOUBLE PANE,1969.0,2017.0,2017.0,,,,,,,,
63856,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,48.0,"JAN 13, 2014",,,,,REPLACED,,NO,Recycling bins,YES,NO,,REPLACED,2005.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,FIRST FLOOR,NO,0.0,0.0,1.0,10.0,YES,YES,Surface Parking,M1J,,YES,METCAP LIVING MANAGEMENT INC,PRIVATE,SCREENED ENCLOSURE,4152752.0,NO,YES,NO,1330  DANFORTH RD ,NO,,,YES,PAID,21,DOUBLE PANE,1967.0,2017.0,2017.0,,,,,,,,
63857,NONE,,YES,YES,YES,YES,YES,Not Available,13.0,144.0,"MAY 1, 2016",,,,MODERNIZED,REPLACED,,YES,Green Bin / Organics,YES,YES,OUTDOOR,REPLACED,2012.0,FORCED AIR GAS,YES,YES,NO,NO,YES,8AM - 9PM,GROUND FLOOR,NO,2.0,18.0,2.0,14.0,YES,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M1P,,YES,,PRIVATE,OUTDOOR,4152759.0,NO,NO,NO,1375  MIDLAND AVE ,YES,YES,2002.0,NO,FREE,21,DOUBLE PANE,1972.0,2014.0,2017.0,,,,,,,,
63858,NONE,,YES,YES,YES,YES,NO,30 indoor parking spots and 0 outdoor parking spots,12.0,138.0,"FEB 10, 2017",,,,,ORIGINAL,YES,NO,Recycling bins,YES,YES,,REPLACED,2011.0,HOT WATER,NO,YES,NO,YES,YES,7:30AM - 10:30PM,MAIN FLOOR,YES,0.0,6.0,2.0,20.0,YES,YES,"Underground Garage , Ground Level Garage",M1J,,NO,,PRIVATE,OUTDOOR GARBAGE STORAGE,4152767.0,NO,NO,NO,1299  DANFORTH RD ,YES,YES,1995.0,YES,FREE,21,DOUBLE PANE,1967.0,,2017.0,,,,,,,,
63859,NONE,,YES,NO,YES,NO,YES,Not Available,3.0,26.0,,,,,,,,YES,Green Bin / Organics,YES,NO,OUTSIDE ,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,ALWAYS OPEN,MAIN FLOOR ,YES,0.0,30.0,0.0,4.0,YES,YES,Surface Parking,M3K,,YES,KNRS PROPERTIES INC,PRIVATE,OUTSIDE ,4154373.0,NO,YES,NO,5  HARTHAM PL ,NO,,,,UNAVAILABLE,6,DOUBLE PANE,1959.0,,2017.0,,,,,,,,
